Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
12/19/2023,72.48,74.02,71.84,73.44,0.97,+1.34%,489640,1574070
12/18/2023,71.68,74.26,70.64,72.47,1.04,+1.46%,696111,1575517
12/15/2023,71.61,72.22,70.3,71.43,-0.15,-0.21%,655144,1595998
12/14/2023,69.85,72.46,69.54,71.58,2.11,+3.04%,855935,1604072
12/13/2023,68.73,69.89,67.71,69.47,0.86,+1.25%,798123,1651949
12/12/2023,71.43,71.96,68.22,68.61,-2.71,-3.80%,883323,1650245
12/11/2023,71.15,71.81,70.35,71.32,0.09,+0.13%,615596,1642844
12/08/2023,69.76,71.63,69.5,71.23,1.89,+2.73%,672911,1644575
12/07/2023,69.28,70.48,68.8,69.34,-0.04,-0.06%,762671,1659213
12/06/2023,72.1,72.6,69.11,69.38,-2.94,-4.07%,1064089,1672966
12/05/2023,73.3,74.12,72.02,72.32,-0.72,-0.99%,862033,1650437
12/04/2023,74.58,75.03,72.63,73.04,-1.03,-1.39%,949261,1641322
12/01/2023,75.59,76.76,73.93,74.07,-1.89,-2.49%,814632,1640920
11/30/2023,77.75,79.6,75.05,75.96,-1.9,-2.44%,1371341,1649235
11/29/2023,76.56,78.09,75.67,77.86,1.45,+1.90%,707111,1584635
11/28/2023,75.07,77.02,74.64,76.41,1.55,+2.07%,739929,1563737
11/27/2023,75.31,76.23,74.06,74.86,-0.68,-0.90%,559611,1569542
11/24/2023,76.79,77.09,75.07,75.54,-1.56,-2.02%,518146,1565233
11/22/2023,77.77,77.97,73.79,77.1,-0.67,-0.86%,774983,1558716
11/21/2023,77.65,77.92,76.92,77.77,-0.06,-0.08%,483113,1549244
11/20/2023,75.8,78.46,75.41,77.83,1.79,+2.35%,562867,1541757
11/17/2023,73.11,76.19,72.91,76.04,2.95,+4.04%,800649,1559701
11/16/2023,76.71,76.8,72.37,73.09,-3.7,-4.82%,1050643,1602287
11/15/2023,78.1,78.69,76.45,76.79,-1.38,-1.77%,864712,1620876
11/14/2023,78.48,79.65,77.73,78.17,-0.02,-0.03%,678496,1639133
11/13/2023,77.18,78.54,76.19,78.19,1.04,+1.35%,621102,1645459
11/10/2023,75.65,77.71,75.36,77.15,1.4,+1.85%,668859,1655570
11/09/2023,75.63,77.12,75.18,75.75,0.44,+0.58%,800403,1658816
11/08/2023,77.03,77.43,74.92,75.31,-1.9,-2.46%,1052345,1674065
11/07/2023,80.69,80.79,76.99,77.21,-3.39,-4.21%,942721,1688562
11/06/2023,80.76,81.9,80.33,80.6,0.37,+0.46%,650379,1689918
11/03/2023,82.25,83.2,79.84,80.23,-1.93,-2.35%,963284,1691456
11/02/2023,80.44,82.44,80.01,82.16,2.06,+2.57%,776595,1675544
11/01/2023,80.98,82.82,79.96,80.1,-0.4,-0.50%,738399,1680549
10/31/2023,81.96,82.77,80.26,80.5,-1.18,-1.44%,732326,1671255
10/30/2023,84.25,84.39,81.16,81.68,-3.02,-3.57%,720900,1670588
10/27/2023,82.88,85,82.41,84.7,2.16,+2.62%,629905,1646258
10/26/2023,84.58,84.85,81.97,82.54,-2.15,-2.54%,697715,1632941
10/25/2023,82.99,84.85,81.44,84.69,1.72,+2.07%,881539,1622665
10/24/2023,85.05,85.22,82.16,82.97,-1.45,-1.72%,818434,1628044
10/23/2023,86.69,87,84.3,84.42,-2.4,-2.76%,590445,1631088
10/20/2023,87.6,88.37,86.3,86.82,-0.24,-0.28%,626724,1641488
10/19/2023,85.99,88.09,84.37,87.06,0.97,+1.13%,836293,1648103
10/18/2023,85.39,87.26,85.07,86.09,1.79,+2.12%,785239,1648577
10/17/2023,84.55,85.25,83.27,84.3,0.28,+0.33%,670181,1654168
10/16/2023,85.07,85.61,83.78,84.02,-1.06,-1.25%,656712,1678852
10/13/2023,81.13,85.24,81.03,85.08,4.35,+5.39%,1054137,1688923
10/12/2023,80.81,82.46,80.34,80.73,-0.19,-0.23%,1060997,1717923
10/11/2023,82.58,83.17,80.39,80.92,-1.65,-2.00%,1160588,1760570
10/10/2023,83.1,83.3,81.92,82.57,-0.43,-0.52%,951073,1753314
10/09/2023,81.69,83.98,81.35,83,3.17,+3.97%,1045860,1726790
10/06/2023,79.45,80.24,78.93,79.83,0.42,+0.53%,1106528,1747129
10/05/2023,81.21,81.66,79.12,79.41,-1.57,-1.94%,1107099,1796383
10/04/2023,85.85,86.05,80.92,80.98,-4.79,-5.58%,1025901,1784065
10/03/2023,85.39,86.46,84.71,85.77,0.15,+0.18%,920197,1787495
10/02/2023,86.8,88.05,85.31,85.62,-1.36,-1.56%,772400,1770012
09/29/2023,87.89,89.09,86.74,86.98,-0.77,-0.88%,828230,1774359
09/28/2023,89.4,90.27,87.49,87.75,-1.55,-1.74%,1036849,1776331
09/27/2023,87.33,89.66,87.22,89.3,2.08,+2.38%,1312062,1785182
09/26/2023,86.77,87.51,85.35,87.22,0.52,+0.60%,696980,1750559
09/25/2023,87.18,87.39,86.05,86.7,-0.06,-0.07%,758140,1743019
09/22/2023,87.01,88.12,86.4,86.76,-0.3,-0.34%,1041400,1747611
09/21/2023,86.78,88.12,85.94,87.06,0,0.00%,766917,1702357
09/20/2023,88.01,88.23,86.56,87.06,-0.83,-0.94%,973274,1677883
09/19/2023,88.15,89.24,87.81,87.89,-0.12,-0.14%,1391367,1692990
09/18/2023,88.21,88.73,87.48,88.01,0.09,+0.10%,1124422,1702592
09/15/2023,88.22,88.7,86.97,87.92,0.02,+0.02%,1147274,1708836
09/14/2023,86.5,88.38,86.43,87.9,1.63,+1.89%,997610,1743824
09/13/2023,86.41,87.14,86.02,86.27,-0.23,-0.27%,965690,1751172
09/12/2023,85.16,86.83,85.12,86.5,1.35,+1.59%,1043233,1791696
09/11/2023,84.91,85.91,84.6,85.15,0,0.00%,827970,1750837
09/08/2023,84.23,85.4,83.89,85.15,0.66,+0.78%,779973,1770817
09/07/2023,85.08,85.25,84.05,84.49,-0.57,-0.67%,668781,1754329
09/06/2023,84.39,85.49,83.77,85.06,0.68,+0.81%,856899,1742046
09/05/2023,83.48,85.44,82.75,84.38,1.27,+1.53%,1165132,1703130
09/01/2023,81.54,83.47,81.45,83.11,1.53,+1.88%,1117620,1688850
08/31/2023,80.04,81.63,79.9,81.58,1.56,+1.95%,987596,1674270
08/30/2023,79.75,80.48,79.44,80.02,0.35,+0.44%,620312,1644401
08/29/2023,78.7,79.85,78.08,79.67,0.91,+1.16%,599161,1658521
08/28/2023,79,79.54,78.43,78.76,0.07,+0.09%,470724,1650173
08/25/2023,77.75,79.07,77.1,78.69,0.82,+1.05%,902008,1649014
08/24/2023,77.71,78.27,76.75,77.87,-0.09,-0.12%,831866,1625106
08/23/2023,78.71,78.9,76.75,77.96,-0.74,-0.94%,766247,1616749
08/22/2023,79.03,79.37,78.53,78.7,-0.31,-0.39%,653453,1620368
08/21/2023,79.14,80.3,78.91,79.01,-0.32,-0.40%,778292,1621099
08/18/2023,78.5,79.54,77.85,79.33,0.61,+0.77%,903958,1652502
08/17/2023,77.84,79.31,77.7,78.72,0.63,+0.81%,894071,1677973
08/16/2023,79.39,79.74,77.75,78.09,-1.08,-1.36%,1005223,1691603
08/15/2023,80.27,80.7,78.66,79.17,-1.19,-1.48%,816787,1702766
08/14/2023,80.78,80.84,79.78,80.36,-0.64,-0.79%,669078,1705895
08/11/2023,80.9,81.53,80.48,81,0.15,+0.19%,847977,1704647
08/10/2023,81.75,82.2,80.6,80.85,-1.06,-1.29%,892447,1705255
08/09/2023,80.71,82.06,80.63,81.91,1.07,+1.32%,1289103,1698665
08/08/2023,80.54,80.92,78.28,80.84,0.79,+0.99%,1008699,1703711
08/07/2023,81,81.1,79.69,80.05,-0.63,-0.78%,687521,1726215
08/04/2023,79.7,80.97,79.59,80.68,1.05,+1.32%,677780,1737184
08/03/2023,78.2,79.95,77.17,79.63,1.74,+2.23%,909031,1743845
08/02/2023,80.2,80.4,77.44,77.89,-1.6,-2.01%,875724,1736099
08/01/2023,79.8,80.19,78.87,79.49,-0.36,-0.45%,731534,1752072
07/31/2023,78.78,80.01,78.43,79.85,1,+1.27%,625559,1750069
07/28/2023,77.82,78.96,77.49,78.85,0.62,+0.79%,672998,1737738
07/27/2023,77.28,78.57,77.27,78.23,1.08,+1.40%,827997,1738972
07/26/2023,77.4,77.84,76.82,77.15,-0.62,-0.80%,698011,1741916
07/25/2023,77.19,78,76.67,77.77,0.64,+0.83%,768574,1743598
07/24/2023,75.3,77.49,75.1,77.13,1.46,+1.93%,786725,1715370
07/21/2023,74.8,75.85,74.65,75.67,1.15,+1.54%,687679,1698815
07/20/2023,74.2,75.08,73.64,74.52,0.25,+0.34%,714294,1684923
07/19/2023,74.49,75.47,73.99,74.27,-0.22,-0.30%,847105,1707760
07/18/2023,73.01,74.61,72.92,74.49,1.38,+1.89%,899364,1768189
07/17/2023,73.6,74.75,72.84,73.11,-0.95,-1.28%,771026,1784380
07/14/2023,75.52,75.57,73.8,74.06,-1.28,-1.70%,765614,1815352
07/13/2023,74.21,75.63,74.06,75.34,1.18,+1.59%,1101188,1807153
07/12/2023,73.41,74.4,73.24,74.16,0.75,+1.02%,984652,1805575
07/11/2023,71.86,73.46,71.79,73.41,1.65,+2.30%,833511,1796348
07/10/2023,72.06,72.6,71.43,71.76,-0.5,-0.69%,754854,1783320
07/07/2023,70.68,72.3,70.23,72.26,1.57,+2.22%,963289,1797824
07/06/2023,71.07,71.28,69.39,70.69,-0.29,-0.41%,991213,1808544
07/05/2023,69.41,71.28,69.41,70.98,1.8,+2.60%,1032795,1820921
07/03/2023,69.94,71.11,69.09,69.18,-1.02,-1.45%,631966,1816043
06/30/2023,69.43,70.47,69.33,70.2,0.52,+0.75%,792931,1822603
06/29/2023,69.19,70.29,68.84,69.68,0.18,+0.26%,642881,1838738
06/28/2023,68,69.63,67.45,69.5,1.61,+2.37%,944699,1853677
06/27/2023,69.27,69.8,67.76,67.89,-1.29,-1.86%,1053846,1865745
06/26/2023,69.44,69.77,68.59,69.18,0.27,+0.39%,595162,1866900
06/23/2023,69.2,69.2,67.26,68.91,-0.17,-0.25%,743164,1860847
06/22/2023,71.36,71.49,68.67,69.08,-2.39,-3.34%,1139908,1864702
06/21/2023,69.87,71.52,69.87,71.47,1.28,+1.82%,584082,1847551
06/20/2023,70.63,71.11,68.94,70.19,-0.74,-1.04%,782274,1841691
06/16/2023,69.79,70.99,69.45,70.93,0.94,+1.34%,742787,1830050
06/15/2023,68.12,70.22,67.44,69.99,2.28,+3.37%,746526,1853308
06/14/2023,68.52,69.62,67.58,67.71,-0.99,-1.44%,900231,1862477
06/13/2023,66.77,68.98,66.73,68.7,2.23,+3.35%,1064507,1886782
06/12/2023,68.51,68.54,66.22,66.47,-2.58,-3.74%,1128900,1907708
06/09/2023,69.42,70.43,68.98,69.05,-0.83,-1.19%,842990,1897548
06/08/2023,70.85,71.57,67.98,69.88,-1.05,-1.48%,1321961,1920038
06/07/2023,70.03,71.42,69.53,70.93,0.8,+1.14%,712593,1936376
06/06/2023,70.18,70.57,68.74,70.13,-0.36,-0.51%,771106,1951628
06/05/2023,72.72,72.72,70.16,70.49,0.24,+0.34%,902420,1937979
06/02/2023,68.81,70.62,68.81,70.25,1.45,+2.11%,734666,1928062
06/01/2023,66.85,69.55,66.68,68.8,1.76,+2.63%,825069,1923461
05/31/2023,68.25,68.34,66.27,67.04,-1.27,-1.86%,994227,1922759
05/30/2023,71.7,71.7,67.94,68.31,-2.73,-3.84%,889010,1920740
05/26/2023,70.15,71.26,70.07,71.04,0.8,+1.14%,507886,1900254
05/25/2023,72.09,72.2,69.39,70.24,-2.02,-2.80%,956934,1903067
05/24/2023,71.57,72.4,71.2,72.26,1.33,+1.88%,872916,1865081
05/23/2023,70.48,71.6,69.87,70.93,0.86,+1.23%,710207,1845155
05/22/2023,69.87,70.46,68.9,70.07,0.27,+0.39%,489140,1831177
05/19/2023,70.48,71.62,69.46,69.8,-0.46,-0.65%,658887,1827592
05/18/2023,70.9,71.09,69.88,70.26,-0.7,-0.99%,575850,1842615
05/17/2023,68.76,71.2,68.29,70.96,2.09,+3.03%,820634,1834374
05/16/2023,69.64,69.64,68.5,68.87,-0.25,-0.36%,570201,1856570
05/15/2023,68.03,69.49,67.56,69.12,1.07,+1.57%,657563,1864275
05/12/2023,69.35,69.62,67.97,68.05,-0.86,-1.25%,653468,1868404
05/11/2023,70.7,70.99,68.75,68.91,-1.56,-2.21%,877057,1878335
05/10/2023,71.23,71.41,69.98,70.47,-0.88,-1.23%,886150,1881512
05/09/2023,70.48,71.36,69.3,71.35,0.66,+0.93%,757951,1885886
05/08/2023,69.35,70.87,69.35,70.69,1.63,+2.36%,693376,1880511
05/05/2023,67.23,69.23,67.23,69.06,2.45,+3.68%,782987,1885972
05/04/2023,66.48,67.61,65,66.61,-0.28,-0.42%,1084609,1881729
05/03/2023,69.18,69.3,66.45,66.89,-2.34,-3.38%,1228193,1881061
05/02/2023,72.63,72.83,69.1,69.23,-3.39,-4.67%,989875,1908299
05/01/2023,73.32,73.36,71.71,72.62,-1.03,-1.40%,443900,1886091
04/28/2023,71.9,73.69,71.39,73.65,1.82,+2.53%,704355,1881769
04/27/2023,71.68,72.01,71.39,71.83,0.21,+0.29%,784946,1880445
04/26/2023,74.01,74.36,71.45,71.62,-2.11,-2.86%,1084446,1862150
04/25/2023,75.6,75.6,73.55,73.73,-1.93,-2.55%,784520,1826195
04/24/2023,74.4,75.99,73.78,75.66,0.91,+1.22%,621205,1843366
04/21/2023,73.36,74.79,73.36,74.75,0.87,+1.18%,638195,1862472
04/20/2023,74.8,74.8,73.63,73.88,-1.61,-2.13%,717943,1883270
04/19/2023,77.25,77.25,75.11,75.49,-1.51,-1.96%,689477,1894743
04/18/2023,77.25,77.56,76.49,77,0.09,+0.12%,703111,1913192
04/17/2023,78,78,76.6,76.91,-1.1,-1.41%,722653,1919527
04/14/2023,78.06,78.35,77.4,78.01,0.33,+0.42%,825777,1896776
04/13/2023,78.18,78.41,77.65,77.68,-0.58,-0.74%,683300,1883200
04/12/2023,76.93,78.37,76.93,78.26,1.21,+1.57%,977549,1896968
04/11/2023,76.3,77.07,75.71,77.05,1.41,+1.86%,791566,1875140
04/10/2023,76.28,76.65,75.59,75.64,-0.57,-0.75%,607175,1875858
04/06/2023,75.99,76.67,75.75,76.21,-0.14,-0.18%,674816,1889117
04/05/2023,76.7,76.77,75.59,76.35,-0.03,-0.04%,674772,1880340
04/04/2023,76.44,77.32,75.58,76.38,0.11,+0.14%,897753,1858446
04/03/2023,77.3,77.58,75.03,76.27,3.17,+4.34%,1567311,1841698
03/31/2023,71.89,73.12,71.6,73.1,1.1,+1.53%,755277,1838157
03/30/2023,70.8,72.17,70.8,72,1.07,+1.51%,603589,1818389
03/29/2023,71.54,72.15,70.79,70.93,-0.36,-0.50%,727604,1805944
03/28/2023,70.79,71.8,70.69,71.29,0.33,+0.47%,735489,1785807
03/27/2023,68.06,71.06,67.63,70.96,3.12,+4.60%,804458,1798836
03/24/2023,68.03,68.7,66.06,67.84,-0.58,-0.85%,818044,1823159
03/23/2023,68.42,69.73,67.75,68.42,-0.59,-0.85%,777064,1820292
03/22/2023,67.78,69.23,67.5,69.01,0.97,+1.43%,779335,1813692
03/21/2023,66.46,68.08,66.17,68.04,1.23,+1.84%,882211,1790595
03/20/2023,66.08,66.88,64.37,66.81,0.72,+1.09%,972108,1788446
03/17/2023,67.48,68.44,64.96,66.09,-1.12,-1.67%,1337361,1795230
03/16/2023,67.05,67.84,65.16,67.21,0.84,+1.27%,1027920,1790657
03/15/2023,69.91,70.54,64.76,66.37,-3.29,-4.72%,1752725,1782299
03/14/2023,72.35,72.55,69.23,69.66,-2.84,-3.92%,1066434,1767660
03/13/2023,74.31,74.45,70.6,72.5,-1.59,-2.15%,993307,1772536
03/10/2023,73.02,74.25,72.52,74.09,0.82,+1.12%,767364,1769780
03/09/2023,74.11,75.22,72.99,73.27,-0.91,-1.23%,786358,1769150
03/08/2023,74.63,75.11,73.68,74.18,-0.8,-1.07%,709773,1759977
03/07/2023,77.57,77.57,74.53,74.98,-2.41,-3.11%,853837,1755027
03/06/2023,76.14,77.45,75.87,77.39,0.59,+0.77%,594327,1754733
03/03/2023,75.23,76.84,74.2,76.8,1.38,+1.83%,762602,1757818
03/02/2023,74.82,75.46,74.62,75.42,0.65,+0.87%,520880,1754383
03/01/2023,73.73,74.9,73.54,74.77,0.66,+0.89%,690681,1755350
02/28/2023,74.15,74.86,73.75,74.11,0.89,+1.22%,634521,1750212
02/27/2023,74.04,74.04,72.8,73.22,-0.85,-1.15%,524794,1750215
02/24/2023,74.08,74.12,72.44,74.07,0.52,+0.71%,671537,1757139
02/23/2023,72.46,73.76,72.46,73.55,1.15,+1.59%,786141,1771746
02/22/2023,73.89,74.11,72.32,72.4,-1.7,-2.29%,735885,1782094
02/21/2023,75.2,75.22,73.75,74.1,-0.04,-0.05%,687683,1753386
02/17/2023,75.33,75.39,73.55,74.14,-1.86,-2.45%,737566,1768112
02/16/2023,76.53,76.53,75.7,76,-0.15,-0.20%,547897,1787275
02/15/2023,76.28,76.54,75.03,76.15,-0.31,-0.41%,666938,1806591
02/14/2023,76.72,76.79,75.59,76.46,-0.58,-0.75%,840147,1821601
02/13/2023,76.29,77.16,76.04,77.04,0.5,+0.65%,814248,1818358
02/10/2023,74.97,76.77,74.97,76.54,1.32,+1.75%,880182,1803375
02/09/2023,75.09,75.22,74.34,75.22,-0.49,-0.65%,777697,1788438
02/08/2023,74.76,75.76,74.55,75.71,1.06,+1.42%,840327,1792412
02/07/2023,73.15,74.87,73,74.65,2.1,+2.89%,1041408,1791955
02/06/2023,71.78,72.78,71.07,72.55,0.85,+1.19%,857900,1802117
02/03/2023,73.98,75.01,71.55,71.7,-2.19,-2.96%,973054,1775843
02/02/2023,74.6,74.66,73.3,73.89,-0.2,-0.27%,745967,1750696
02/01/2023,76.16,76.66,73.56,74.09,-2.07,-2.72%,789306,1726724
01/31/2023,74.73,76.29,74.57,76.16,1.11,+1.48%,678120,1726378
01/30/2023,76.73,77.06,74.92,75.05,-1.44,-1.88%,666875,1711398
01/27/2023,77.93,78.63,76.18,76.49,-1.29,-1.66%,814432,1697557
01/26/2023,77.48,78.58,77.16,77.78,0.43,+0.56%,668068,1681911
01/25/2023,77.83,78.05,77.12,77.35,-0.24,-0.31%,645939,1666551
01/24/2023,78.78,78.92,77.46,77.59,-1.37,-1.74%,697723,1660450
01/23/2023,78.06,79.28,78.06,78.96,0.55,+0.70%,830920,1643165
01/20/2023,78.24,78.54,77.38,78.41,0.78,+1.00%,741196,1616175
01/19/2023,76.18,77.86,75.96,77.63,0.85,+1.11%,772121,1615815
01/18/2023,77.68,78.61,76.43,76.78,-0.24,-0.31%,987271,1621408
01/17/2023,77.04,78.19,76.61,77.02,-0.29,-0.38%,1168571,1613466
01/13/2023,76,77.37,75.89,77.31,1,+1.31%,895954,1595867
01/12/2023,75.79,76.62,75.34,76.31,0.62,+0.82%,928128,1574676
01/11/2023,73.54,75.8,73.54,75.69,1.78,+2.41%,1005420,1577926
01/10/2023,73.4,74.56,73.4,73.91,0.09,+0.12%,863813,1557092
01/09/2023,73.55,75.02,73.55,73.82,1.02,+1.40%,817571,1534440
01/06/2023,72.88,73.93,72.26,72.8,0.19,+0.26%,608676,1515033
01/05/2023,72.78,73.39,71.81,72.61,0.64,+0.89%,706565,1504805
01/04/2023,74.42,74.42,71.9,71.97,-2.56,-3.43%,899027,1501468
01/03/2023,77.07,77.17,74.4,74.53,-2.26,-2.94%,812025,1459936
12/30/2022,74.98,76.79,74.78,76.79,1.66,+2.21%,460409,1440291
12/29/2022,74.91,75.35,74.4,75.13,-0.78,-1.03%,396959,1430173
12/28/2022,76.1,76.42,74.86,75.91,-0.25,-0.33%,421323,1415605
12/27/2022,76.74,77.09,75.83,76.16,0.23,+0.30%,459899,1413545
12/23/2022,75.53,75.93,75.43,75.93,2.31,+3.14%,501325,1404638
12/22/2022,74.66,74.99,73.3,73.62,-0.78,-1.05%,463326,1394843
12/21/2022,73.5,74.98,73.5,74.4,1.1,+1.50%,559030,1399039
12/20/2022,72.99,73.77,72.43,73.3,0.67,+0.92%,551304,1394021
12/19/2022,72.46,72.9,72.05,72.63,0.55,+0.76%,575639,1397289
12/16/2022,72.2,72.76,71.43,72.08,-1.05,-1.44%,689612,1409494
12/15/2022,74.1,74.3,72.59,73.13,-1.52,-2.04%,713388,1413200
12/14/2022,74.5,75.12,73.93,74.65,0.98,+1.33%,789613,1429706
12/13/2022,73.18,74.2,73.18,73.67,1.14,+1.57%,888046,1450482
12/12/2022,73.07,73.12,70.89,72.53,1.42,+2.00%,835779,1462221
12/09/2022,71.66,71.68,70.94,71.11,0.01,+0.01%,954585,1458924
12/08/2022,71.85,72.31,70.68,71.1,-0.6,-0.84%,1352272,1448121
12/07/2022,72,73.56,71.61,71.7,-1.67,-2.28%,979100,1447227
12/06/2022,75.33,75.88,73.31,73.37,-2.26,-2.99%,935416,1436728
12/05/2022,78.1,78.88,75.63,75.63,-1.83,-2.36%,854011,1437479
12/02/2022,77.6,77.63,77.22,77.46,0.04,+0.05%,662915,1410821
12/01/2022,78.23,78.44,77.36,77.42,-0.04,-0.05%,742271,1414811
11/30/2022,76.74,77.46,76.74,77.46,2.24,+2.98%,644016,1420782
11/29/2022,74.9,75.58,74.11,75.22,0.83,+1.12%,811327,1412121
11/28/2022,72.76,74.96,72.32,74.39,0.58,+0.79%,932664,1407065
11/25/2022,75.5,75.5,73.81,73.81,-0.97,-1.30%,500845,1413346
11/23/2022,74.78,74.78,74.25,74.78,-0.95,-1.25%,813230,1413041
11/22/2022,75.73,75.94,75.73,75.73,0.29,+0.38%,570659,1403260
11/21/2022,75.5,75.5,72.53,75.44,0.89,+1.19%,1066369,1415064
11/18/2022,74,75.52,73.78,74.55,-0.58,-0.77%,1167883,1439585
11/17/2022,76.31,76.31,74.95,75.13,-1.69,-2.20%,1034811,1451894
11/16/2022,76.82,76.82,76.77,76.82,-1.41,-1.80%,694275,1437134
11/15/2022,77,78.98,77,78.23,1.39,+1.81%,940328,1469437
11/14/2022,76.84,78.36,76.84,76.84,-1.32,-1.69%,826468,1485833
11/11/2022,78.16,78.25,78.16,78.16,1.75,+2.29%,696142,1468011
11/10/2022,76,76.58,75.96,76.41,0.27,+0.35%,748085,1453200
11/09/2022,76.14,76.14,76.14,76.14,-2.19,-2.80%,939237,1451641
11/08/2022,78.6,78.6,78.33,78.33,-1.66,-2.08%,795325,1446658
11/07/2022,79.99,80.28,79.17,79.99,-0.14,-0.17%,717952,1454170
11/04/2022,80.13,80.33,80.13,80.13,2.51,+3.23%,823655,1469138
11/03/2022,77.62,77.62,77.55,77.62,-1.03,-1.31%,513158,1453870
11/02/2022,78.65,78.65,78.65,78.65,1.7,+2.21%,593384,1459758
11/01/2022,76.95,77.38,76.95,76.95,1.02,+1.34%,558152,1459052
10/31/2022,75.93,75.93,75.42,75.93,-0.39,-0.51%,523819,1454097
10/28/2022,76.32,76.32,76.23,76.32,-1.05,-1.36%,504681,1453285
10/27/2022,77.37,77.37,76.71,77.37,0.63,+0.82%,619937,1451367
10/26/2022,76.74,76.74,75.14,76.74,1.24,+1.64%,556852,1442243
10/25/2022,75.5,75.5,74.2,75.5,0.9,+1.21%,483573,1436942
10/24/2022,72.95,75.24,72.95,74.6,0.07,+0.09%,454678,1434285
10/21/2022,74.53,74.53,74.11,74.53,0.19,+0.26%,559397,1430747
10/20/2022,75.02,75.84,74.34,74.34,-0.6,-0.80%,721233,1434555
10/19/2022,74.94,74.94,74.94,74.94,1.11,+1.50%,881093,1435957
10/18/2022,73,74.34,72.7,73.83,-0.22,-0.30%,850841,1454431
10/17/2022,74.03,74.8,74.03,74.05,0.32,+0.43%,534659,1454545
10/14/2022,73.73,73.73,73.73,73.73,-1.97,-2.60%,658783,1465253
10/13/2022,75.88,75.88,73.74,75.7,1.39,+1.87%,742902,1470403
10/12/2022,73.67,74.31,73.67,74.31,-1.27,-1.68%,900837,1480446
